"","X","Id","Id.Type","Activity","Agonist","Partial","Antagonist","Invagonist","smiles"
"1",1,"44436833","cid",0,NA,NA,NA,NA,"C1C[C@H](NC1)C(=O)N[C@H](CC2=CNC3=CC=CC=C32)C4=NNC(N4C5=CC=CC=C5)CCC6=CC=CC=C6"
"2",2,"44436813","cid",0,NA,NA,NA,NA,"CCC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H](C)N)CCC5=CC=CC=C5"
"3",3,"16114404","cid",0,NA,NA,NA,NA,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5=CC=CC=C5"
"4",4,"16113469","cid",0,NA,NA,NA,NA,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CCC4=CC=CC=C4)CCC5=CNC6=CC=CC=C65)N"
"5",5,"44421230","cid",1,0,1,0,0,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3C4=CC(=C(C=C4)Cl)Cl)CC5=CC=CC=C5)N"
"6",6,"16204239","cid",1,0,1,0,0,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CCC4=CC=CC=C4)CC5=CNC6=CC=CC=C65)N"
"7",7,"44436842","cid",0,NA,NA,NA,NA,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)C5CCCCN5)CCC6=CNC7=CC=CC=C76"
"8",8,"23648246","cid",0,NA,NA,NA,NA,"CCC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCNC5)CCC6=CC=CC=C6"
"9",9,"44436812","cid",0,NA,NA,NA,NA,"C[C@H](C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NNC(N3CC4=CC=C(C=C4)OC)CCC5=CC=CC=C5)N"
"10",10,"23648233","cid",0,NA,NA,NA,NA,"C1=CC=C(C=C1)CCC2=NN=C(N2C3=CC=CC=C3)[C@@H](CC4=CNC5=CC=CC=C54)NC(=O)CN"
"11",11,"44436882","cid",0,NA,NA,NA,NA,"C1CNCCC1C(=O)N[C@H](CC2=CNC3=CC=CC=C32)C4=NNC(N4CC5=CC=CO5)CCC6=CC=CC=C6"
"12",12,"23656300","cid",0,NA,NA,NA,NA,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCCN5)CCC6=CC=CC=C6)OC"
"13",13,"23648236","cid",0,NA,NA,NA,NA,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NCCN)CCC5=CC=CC=C5)OC"
"14",14,"44391013","cid",0,NA,NA,NA,NA,"CCOC1=CC=CC=C1C(=O)N2CCC3=C(C2C(=O)NCCN(C(C)C)C(C)C)C=CC(=C3)OCC4=CC=CC=C4"
"15",15,"16114098","cid",0,NA,NA,NA,NA,"CC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)C(C)(C)N)CCCC5=CC=CC=C5"
