"","X","Id","Id.Type","smiles"
"1","GHSR.Activity.CHEMBL4616.csv.1",NA,"cid",NA
"2","GHSR.Activity.CHEMBL4616.csv.2",NA,"cid",NA
"3","GHSR.Activity.CHEMBL4616.csv.3",NA,"cid",NA
"4","GHSR.Activity.CHEMBL4616.csv.4",NA,"cid",NA
"5","GHSR.Activity.CHEMBL4616.csv.5",NA,"cid",NA
"6","GHSR.Activity.CHEMBL4616.csv.6",NA,"cid",NA
"7","GHSR.Activity.CHEMBL4616.csv.7",NA,"cid",NA
"8","GHSR.Activity.CHEMBL4616.csv.8",NA,"cid",NA
"9","GHSR.Activity.CHEMBL4616.csv.9",NA,"cid",NA
"10","GHSR.Activity.CHEMBL4616.csv.10",NA,"cid",NA
"11","GHSR.Activity.CHEMBL4616.csv.11",NA,"cid",NA
"12","GHSR.Activity.CHEMBL4616.csv.12",NA,"cid",NA
"13","GHSR.Activity.CHEMBL4616.csv.13",NA,"cid",NA
"14","GHSR.Activity.CHEMBL4616.csv.14",NA,"cid",NA
"15","GHSR.Activity.CHEMBL4616.csv.15",NA,"cid",NA
"16","GHSR.Activity.CHEMBL4616.csv.16",NA,"cid",NA
"17","GHSR.Activity.CHEMBL4616.csv.17",NA,"cid",NA
"18","GHSR.Activity.CHEMBL4616.csv.18",NA,"cid",NA
"19","GHSR.Activity.CHEMBL4616.csv.19",NA,"cid",NA
"20","GHSR.Activity.CHEMBL4616.csv.20",NA,"cid",NA
"21","GHSR.Activity.CHEMBL4616.csv.21",NA,"cid",NA
"22","GHSR.Activity.CHEMBL4616.csv.22",NA,"cid",NA
"23","GHSR.Activity.CHEMBL4616.csv.23",NA,"cid",NA
"24","GHSR.Activity.CHEMBL4616.csv.24",NA,"cid",NA
"25","GHSR.Activity.CHEMBL4616.csv.25",NA,"cid",NA
"26","GHSR.Activity.CHEMBL4616.csv.26",NA,"cid",NA
"27","GHSR.Activity.CHEMBL4616.csv.27",NA,"cid",NA
"28","GHSR.Activity.CHEMBL4616.csv.28",NA,"cid",NA
"29","GHSR.Activity.CHEMBL4616.csv.29",NA,"cid",NA
"30","GHSR.IC50.CHEMBL4616.csv",NA,"cid",NA
"31","GHSR.Ki.CHEMBL4616.csv.3",NA,"cid",NA
"32","1","3961","cid","CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl"
"33","2","3154001","cid","CCN(CC)CCCN(C(C1=CC=CO1)C(=O)NC2CCCCC2)C(=O)C3=CC=C(N3)C4=CC=CC=C4"
"34","3","3154002","cid","CCN(CC)CCCN(C(C1=CC=C(C=C1)C)C(=O)NC2CCCCC2)C(=O)C3=CC=C(N3)C4=CC=CC=C4"
"35","4","3154004","cid","CCN(CC)CCCN(C(C1=C(C=CC(=C1)OC)OC)C(=O)NC2CCCCC2)C(=O)C3=CC=C(N3)C4=CC=CC=C4"
"36","5","3174396","cid","CC(C)(C)NC(=O)C(C1=CC=C(C=C1)F)N(CCCN2CCOCC2)C(=O)C3=CC=C(N3)C4=CC=CC=C4"
"37","7","3174452","cid","CC(C(=O)NC1CCCCC1)N(CC2=CC=C(C=C2)OC)C(=O)C3=CC=C(N3)C4=CC=CC=C4"
"38","8","3174462","cid","CCN(CC)CCCN(C(C1=CC=C(C=C1)F)C(=O)NC2CCCCC2)C(=O)C3=CC=C(O3)CN4CCOCC4"
"39","9","3174464","cid","C1CCC(CC1)NC(=O)C(C2=CC=C(C=C2)F)N(CCCN3CCOCC3)C(=O)C4=CC=C(O4)CN5CCOCC5"
"40","10","3174465","cid","C1CCC(CC1)NC(=O)C(C2=CC=C(C=C2)F)N(CCCN3CCOCC3)C(=O)C4=CC=C(N4)C5=CC=CC=C5"
"41","12","3174471","cid","COC1=CC=C(C=C1)CN(C(C2=CC=C(C=C2)F)C(=O)NC3CCCCC3)C(=O)C4=CC=C(N4)C5=CC=CC=C5"
"42","13","3174508","cid","CCN(CC)CCCN(C(C1=CC=CS1)C(=O)NC2CCCCC2)C(=O)C3=CC=C(N3)C4=CC=CC=C4"
