"","X","Id","Id.Type","Standard.Value","smiles"
"1",1,NA,"cid",5000,NA
"2",2,NA,"cid",2190,NA
"3",3,NA,"cid",2380,NA
"4",4,NA,"cid",5000,NA
"5",5,NA,"cid",1590,NA
"6",6,NA,"cid",4170,NA
"7",7,NA,"cid",240,NA
"8",8,NA,"cid",NA,NA
"9",9,NA,"cid",0.45,NA
"10",10,NA,"cid",50.12,NA
"11",11,NA,"cid",7,NA
"12",12,NA,"cid",10.47,NA
"13",13,NA,"cid",3.311,NA
"14",14,NA,"cid",6,NA
"15",15,NA,"cid",30,NA
"16",16,NA,"cid",2200,NA
"17",17,NA,"cid",90,NA
"18",18,NA,"cid",114,NA
"19",19,NA,"cid",5000,NA
"20",20,NA,"cid",250,NA
"21",21,NA,"cid",1180,NA
"22",22,NA,"cid",NA,NA
"23",23,NA,"cid",NA,NA
"24",24,NA,"cid",NA,NA
"25",25,NA,"cid",220,NA
"26",26,NA,"cid",737,NA
"27",27,NA,"cid",1290,NA
"28",28,NA,"cid",503,NA
"29",29,NA,"cid",3940,NA
"30",30,NA,"cid",2510,NA
"31",31,NA,"cid",200,NA
"32",32,NA,"cid",NA,NA
"33",33,NA,"cid",63,NA
"34",34,NA,"cid",5000,NA
"35",35,NA,"cid",470,NA
"36",36,NA,"cid",1370,NA
"37",37,NA,"cid",2940,NA
"38",38,NA,"cid",40,NA
"39",39,NA,"cid",2660,NA
"40",40,NA,"cid",0.1,NA
"41",41,NA,"cid",0.5,NA
"42",42,NA,"cid",2030,NA
"43",43,NA,"cid",NA,NA
"44",44,NA,"cid",910,NA
"45",45,NA,"cid",18,NA
"46",46,NA,"cid",720,NA
"47",47,NA,"cid",298,NA
"48",48,NA,"cid",1900,NA
"49",49,NA,"cid",0.2,NA
"50",50,NA,"cid",0.3,NA
"51",51,NA,"cid",680,NA
"52",52,NA,"cid",0.9,NA
"53",53,NA,"cid",0.01,NA
"54",54,NA,"cid",0.6,NA
"55",55,NA,"cid",1.9,NA
"56",56,NA,"cid",15.49,NA
"57",57,NA,"cid",1070,NA
"58",58,NA,"cid",1780,NA
"59",59,NA,"cid",2200,NA
"60",60,NA,"cid",5000,NA
"61",61,NA,"cid",4450,NA
"62",62,NA,"cid",5000,NA
"63",63,NA,"cid",820,NA
"64",64,NA,"cid",780,NA
"65",65,NA,"cid",8,NA
"66",66,NA,"cid",110,NA
"67",67,NA,"cid",50,NA
"68",68,NA,"cid",30,NA
"69",69,NA,"cid",2,NA
"70",70,NA,"cid",NA,NA
"71",71,NA,"cid",34.9,NA
"72",72,NA,"cid",31.3,NA
"73",73,NA,"cid",260,NA
"74",74,NA,"cid",10000,NA
"75",75,NA,"cid",9.2,NA
"76",76,NA,"cid",50,NA
"77",77,NA,"cid",6.4,NA
"78",78,NA,"cid",28,NA
"79",79,NA,"cid",611,NA
"80",80,NA,"cid",3380,NA
"81",81,NA,"cid",200,NA
"82",82,NA,"cid",5000,NA
"83",83,NA,"cid",1720,NA
"84",84,NA,"cid",5000,NA
"85",85,NA,"cid",4750,NA
"86",86,NA,"cid",5000,NA
"87",87,NA,"cid",2390,NA
"88",88,NA,"cid",392,NA
"89",89,NA,"cid",20892.96,NA
"90",90,NA,"cid",1170,NA
"91",91,NA,"cid",240,NA
"92",92,NA,"cid",5.7,NA
"93",93,NA,"cid",7.5,NA
"94",94,NA,"cid",2560,NA
"95",95,NA,"cid",5000,NA
"96",96,NA,"cid",3.1,NA
"97",97,NA,"cid",3.4,NA
"98",98,NA,"cid",NA,NA
"99",99,NA,"cid",NA,NA
"100",100,NA,"cid",0.16,NA
"101",101,NA,"cid",0.2,NA
"102",102,NA,"cid",460,NA
"103",103,NA,"cid",11,NA
"104",104,NA,"cid",17,NA
"105",105,NA,"cid",7,NA
"106",106,NA,"cid",59,NA
"107",107,NA,"cid",NA,NA
"108",108,NA,"cid",NA,NA
"109",109,NA,"cid",NA,NA
"110",110,NA,"cid",NA,NA
"111",111,NA,"cid",5,NA
"112",112,NA,"cid",197,NA
"113",113,NA,"cid",5000,NA
"114",114,NA,"cid",453,NA
"115",115,NA,"cid",12,NA
"116",116,NA,"cid",249,NA
"117",117,NA,"cid",500,NA
"118",118,NA,"cid",0.1,NA
"119",119,NA,"cid",100,NA
"120",120,NA,"cid",100,NA
"121",121,NA,"cid",12.88,NA
"122",122,NA,"cid",NA,NA
"123",123,NA,"cid",NA,NA
"124",124,NA,"cid",NA,NA
"125",125,NA,"cid",NA,NA
"126",126,NA,"cid",1320,NA
