"","Id","Id.Type","Activity","Agonist","Partial","Antagonist","Invagonist"
"1","CHEMBL394179","chemblid",0,NA,NA,NA,NA
"2","CHEMBL392902","chemblid",0,NA,NA,NA,NA
"3","CHEMBL400814","chemblid",0,NA,NA,NA,NA
"4","CHEMBL375408","chemblid",0,NA,NA,NA,NA
"5","CHEMBL223269","chemblid",1,0,1,0,0
"6","CHEMBL373393","chemblid",1,0,1,0,0
"7","CHEMBL392592","chemblid",0,NA,NA,NA,NA
"8","CHEMBL414132","chemblid",0,NA,NA,NA,NA
"9","CHEMBL241033","chemblid",0,NA,NA,NA,NA
"10","CHEMBL398607","chemblid",0,NA,NA,NA,NA
"11","CHEMBL391859","chemblid",0,NA,NA,NA,NA
"12","CHEMBL394054","chemblid",0,NA,NA,NA,NA
"13","CHEMBL2113317","chemblid",0,NA,NA,NA,NA
"14","CHEMBL178109","chemblid",0,NA,NA,NA,NA
"15","CHEMBL385131","chemblid",0,NA,NA,NA,NA
"16","CHEMBL489819","chemblid",0,NA,NA,NA,NA
"17","CHEMBL222710","chemblid",0,NA,NA,NA,NA
"18","CHEMBL434573","chemblid",1,0,1,0,0
"19","CHEMBL376735","chemblid",1,0,1,0,0
"20","CHEMBL375408","chemblid",1,0,1,0,0
"21","CHEMBL223239","chemblid",0,NA,NA,NA,NA
"22","CHEMBL223532","chemblid",0,NA,NA,NA,NA
"23","CHEMBL373392","chemblid",1,0,1,0,0
"24","CHEMBL1078960","chemblid",0,NA,NA,NA,NA
"25","CHEMBL1078900","chemblid",0,NA,NA,NA,NA
"26","CHEMBL510195","chemblid",0,NA,NA,NA,NA
"27","CHEMBL490601","chemblid",0,NA,NA,NA,NA
"28","CHEMBL1079045","chemblid",0,NA,NA,NA,NA
"29","CHEMBL1078533","chemblid",0,NA,NA,NA,NA
"30","CHEMBL1079302","chemblid",0,NA,NA,NA,NA
"31","CHEMBL1078114","chemblid",0,NA,NA,NA,NA
"32","CHEMBL188199","chemblid",0,0,0,0,0
"33","CHEMBL189233","chemblid",0,0,0,0,0
"34","CHEMBL186533","chemblid",0,0,0,0,0
"35","CHEMBL427680","chemblid",0,NA,NA,NA,NA
"36","CHEMBL391588","chemblid",0,NA,NA,NA,NA
"37","CHEMBL1079873","chemblid",0,NA,NA,NA,NA
"38","CHEMBL2426684","chemblid",0,NA,NA,NA,NA
"39","CHEMBL1077839","chemblid",0,NA,NA,NA,NA
"40","CHEMBL1079046","chemblid",0,NA,NA,NA,NA
"41","CHEMBL1079872","chemblid",0,NA,NA,NA,NA
"42","CHEMBL1078115","chemblid",0,NA,NA,NA,NA
"43","CHEMBL1078498","chemblid",0,NA,NA,NA,NA
"44","CHEMBL490010","chemblid",0,NA,NA,NA,NA
"45","CHEMBL492230","chemblid",0,NA,NA,NA,NA
"46","CHEMBL519171","chemblid",0,NA,NA,NA,NA
"47","CHEMBL485091","chemblid",0,NA,NA,NA,NA
"48","CHEMBL507551","chemblid",0,NA,NA,NA,NA
"49","CHEMBL521612","chemblid",0,NA,NA,NA,NA
"50","CHEMBL489610","chemblid",0,NA,NA,NA,NA
"51","CHEMBL483455","chemblid",0,NA,NA,NA,NA
"52","CHEMBL489370","chemblid",0,NA,NA,NA,NA
"53","CHEMBL482623","chemblid",0,NA,NA,NA,NA
"54","CHEMBL221723","chemblid",0,NA,NA,NA,NA
"55","CHEMBL223725","chemblid",0,NA,NA,NA,NA
"56","CHEMBL374501","chemblid",1,0,0,1,0
"57","CHEMBL1076586","chemblid",0,NA,NA,NA,NA
"58","CHEMBL1080389","chemblid",0,NA,NA,NA,NA
"59","CHEMBL186535","chemblid",0,0,0,0,0
"60","CHEMBL363334","chemblid",0,0,0,0,0
"61","CHEMBL362777","chemblid",0,0,0,0,0
"62","CHEMBL1079323","chemblid",0,NA,NA,NA,NA
"63","CHEMBL1078699","chemblid",0,NA,NA,NA,NA
"64","CHEMBL1079091","chemblid",0,NA,NA,NA,NA
"65","CHEMBL375162","chemblid",0,NA,NA,NA,NA
"66","CHEMBL222622","chemblid",0,NA,NA,NA,NA
"67","CHEMBL374501","chemblid",0,NA,NA,NA,NA
"68","CHEMBL373392","chemblid",0,NA,NA,NA,NA
"69","CHEMBL376459","chemblid",0,NA,NA,NA,NA
"70","CHEMBL223586","chemblid",0,NA,NA,NA,NA
"71","CHEMBL387109","chemblid",0,NA,NA,NA,NA
"72","CHEMBL375102","chemblid",0,NA,NA,NA,NA
"73","CHEMBL374921","chemblid",0,NA,NA,NA,NA
"74","CHEMBL365489","chemblid",0,NA,NA,NA,NA
"75","CHEMBL185876","chemblid",0,NA,NA,NA,NA
"76","CHEMBL188582","chemblid",0,NA,NA,NA,NA
"77","CHEMBL189126","chemblid",0,0,0,0,0
"78","CHEMBL186445","chemblid",0,0,0,0,0
"79","CHEMBL187212","chemblid",0,0,0,0,0
"80","CHEMBL188173","chemblid",0,NA,NA,NA,NA
"81","CHEMBL1079322","chemblid",0,NA,NA,NA,NA
"82","CHEMBL1078403","chemblid",0,NA,NA,NA,NA
"83","CHEMBL1078608","chemblid",0,NA,NA,NA,NA
"84","CHEMBL1078982","chemblid",0,NA,NA,NA,NA
"85","CHEMBL386218","chemblid",0,NA,NA,NA,NA
"86","CHEMBL376736","chemblid",0,NA,NA,NA,NA
"87","CHEMBL223239","chemblid",1,0,1,0,0
"88","CHEMBL223638","chemblid",1,0,1,0,0
"89","CHEMBL385803","chemblid",0,NA,NA,NA,NA
"90","CHEMBL178092","chemblid",0,NA,NA,NA,NA
"91","CHEMBL252448","chemblid",0,NA,NA,NA,NA
"92","CHEMBL402811","chemblid",0,NA,NA,NA,NA
"93","CHEMBL399446","chemblid",0,NA,NA,NA,NA
"94","CHEMBL267197","chemblid",0,NA,NA,NA,NA
"95","CHEMBL415134","chemblid",0,NA,NA,NA,NA
"96","CHEMBL401084","chemblid",0,NA,NA,NA,NA
"97","CHEMBL414929","chemblid",0,NA,NA,NA,NA
"98","CHEMBL400174","chemblid",0,NA,NA,NA,NA
"99","CHEMBL425164","chemblid",0,NA,NA,NA,NA
"100","CHEMBL391980","chemblid",0,NA,NA,NA,NA
"101","CHEMBL2113318","chemblid",0,NA,NA,NA,NA
"102","CHEMBL240392","chemblid",0,NA,NA,NA,NA
"103","CHEMBL393565","chemblid",0,NA,NA,NA,NA
"104","CHEMBL223810","chemblid",0,NA,NA,NA,NA
"105","CHEMBL223726","chemblid",0,NA,NA,NA,NA
"106","CHEMBL374918","chemblid",0,NA,NA,NA,NA
"107","CHEMBL426905","chemblid",1,1,0,0,0
"108","CHEMBL184196","chemblid",0,0,0,0,0
"109","CHEMBL399652","chemblid",0,NA,NA,NA,NA
"110","CHEMBL249660","chemblid",0,NA,NA,NA,NA
"111","CHEMBL500468","chemblid",1,0,0,0,0
"112","CHEMBL188586","chemblid",0,NA,NA,NA,NA
"113","CHEMBL415135","chemblid",0,NA,NA,NA,NA
"114","CHEMBL249662","chemblid",0,NA,NA,NA,NA
"115","CHEMBL413608","chemblid",0,NA,NA,NA,NA
"116","CHEMBL2113320","chemblid",0,NA,NA,NA,NA
"117","CHEMBL253126","chemblid",0,NA,NA,NA,NA
"118","CHEMBL241242","chemblid",0,NA,NA,NA,NA
"119","CHEMBL2113322","chemblid",0,NA,NA,NA,NA
"120","CHEMBL2113321","chemblid",0,NA,NA,NA,NA
"121","CHEMBL277376","chemblid",0,NA,NA,NA,NA
"122","CHEMBL428383","chemblid",0,NA,NA,NA,NA
"123","CHEMBL181885","chemblid",0,NA,NA,NA,NA
"124","CHEMBL180247","chemblid",0,NA,NA,NA,NA
"125","CHEMBL186623","chemblid",0,0,0,0,0
"126","CHEMBL374757","chemblid",0,NA,NA,NA,NA
"127","CHEMBL221662","chemblid",1,0,1,0,0
"128","CHEMBL223810","chemblid",1,0,1,0,0
"129","CHEMBL221569","chemblid",0,NA,NA,NA,NA
"130","CHEMBL374919","chemblid",0,NA,NA,NA,NA
"131","CHEMBL222912","chemblid",0,NA,NA,NA,NA
"132","CHEMBL399648","chemblid",0,NA,NA,NA,NA
"133","CHEMBL428314","chemblid",0,NA,NA,NA,NA
"134","CHEMBL249659","chemblid",0,NA,NA,NA,NA
"135","CHEMBL399448","chemblid",0,NA,NA,NA,NA
"136","CHEMBL254741","chemblid",0,NA,NA,NA,NA
"137","CHEMBL181093","chemblid",0,NA,NA,NA,NA
"138","CHEMBL489818","chemblid",0,NA,NA,NA,NA
"139","CHEMBL222789","chemblid",1,0,1,0,0
"140","CHEMBL374917","chemblid",1,0,1,0,0
"141","CHEMBL374919","chemblid",1,0,1,0,0
"142","CHEMBL223726","chemblid",1,0,1,0,0
"143","CHEMBL361503","chemblid",0,0,0,0,0
