"","Id","Id.Type","Standard.Value"
"1","CHEMBL415674","chemblid",19.6
"2","CHEMBL398797","chemblid",NA
"3","CHEMBL392296","chemblid",45.3
"4","CHEMBL237927","chemblid",35
"5","CHEMBL237925","chemblid",347
"6","CHEMBL236513","chemblid",27
"7","CHEMBL236311","chemblid",30
"8","CHEMBL235011","chemblid",59
"9","CHEMBL237717","chemblid",147
"10","CHEMBL500468","chemblid",1.4
"11","CHEMBL393531","chemblid",10.1
"12","CHEMBL2113326","chemblid",2.3
"13","CHEMBL414132","chemblid",NA
"14","CHEMBL241775","chemblid",2.5
"15","CHEMBL236038","chemblid",30
"16","CHEMBL391429","chemblid",986
"17","CHEMBL223725","chemblid",15
"18","CHEMBL376471","chemblid",18
"19","CHEMBL488966","chemblid",260
"20","CHEMBL491220","chemblid",60
"21","CHEMBL510195","chemblid",40
"22","CHEMBL489593","chemblid",10000
"23","CHEMBL489794","chemblid",2000
"24","CHEMBL490801","chemblid",50
"25","CHEMBL489403","chemblid",120
"26","CHEMBL1078464","chemblid",1000
"27","CHEMBL1078345","chemblid",10000
"28","CHEMBL2170781","chemblid",1000
"29","CHEMBL1161835","chemblid",0.6
"30","CHEMBL1161827","chemblid",2
"31","CHEMBL294923","chemblid",10
"32","CHEMBL441360","chemblid",5.012
"33","CHEMBL207970","chemblid",3.981
"34","CHEMBL383526","chemblid",7.586
"35","CHEMBL47938","chemblid",1
"36","CHEMBL49884","chemblid",21.88
"37","CHEMBL296104","chemblid",6.026
"38","CHEMBL369329","chemblid",0.66
"39","CHEMBL361612","chemblid",17.8
"40","CHEMBL1078490","chemblid",630.96
"41","CHEMBL2170778","chemblid",1000
"42","CHEMBL417182","chemblid",17
"43","CHEMBL611489","chemblid",18
"44","CHEMBL1162058","chemblid",3.02
"45","CHEMBL1161834","chemblid",5.012
"46","CHEMBL274599","chemblid",14.13
"47","CHEMBL1161835","chemblid",0.6
"48","CHEMBL1161827","chemblid",2.512
"49","CHEMBL382844","chemblid",3.02
"50","CHEMBL295984","chemblid",2
"51","CHEMBL442151","chemblid",14.13
"52","CHEMBL379564","chemblid",5
"53","CHEMBL379074","chemblid",0.7943
"54","CHEMBL1161829","chemblid",2.692
"55","CHEMBL207970","chemblid",4
"56","CHEMBL608826","chemblid",77
"57","CHEMBL33182","chemblid",2.291
"58","CHEMBL1078269","chemblid",1000
"59","CHEMBL492229","chemblid",10
"60","CHEMBL2170694","chemblid",1000
"61","CHEMBL237917","chemblid",9.5
"62","CHEMBL237492","chemblid",3.8
"63","CHEMBL393329","chemblid",5.5
"64","CHEMBL272085","chemblid",19
"65","CHEMBL519322","chemblid",2
"66","CHEMBL471751","chemblid",0.9
"67","CHEMBL61292","chemblid",68.2
"68","CHEMBL433087","chemblid",1.6
"69","CHEMBL380096","chemblid",18
"70","CHEMBL433087","chemblid",1.585
"71","CHEMBL376970","chemblid",5.012
"72","CHEMBL251855","chemblid",24
"73","CHEMBL248745","chemblid",10
"74","CHEMBL1078461","chemblid",1000
"75","CHEMBL1078555","chemblid",1000
"76","CHEMBL237700","chemblid",82.5
"77","CHEMBL1078104","chemblid",10000
"78","CHEMBL1078344","chemblid",10000
"79","CHEMBL1078342","chemblid",10000
"80","CHEMBL1079311","chemblid",79.43
"81","CHEMBL410060","chemblid",23
"82","CHEMBL256235","chemblid",0.6
"83","CHEMBL404227","chemblid",2470
"84","CHEMBL402086","chemblid",22
"85","CHEMBL376970","chemblid",5
"86","CHEMBL379074","chemblid",0.8
"87","CHEMBL1161833","chemblid",57
"88","CHEMBL49884","chemblid",22
"89","CHEMBL1161825","chemblid",10
"90","CHEMBL1161822","chemblid",4.8
"91","CHEMBL209360","chemblid",1.349
"92","CHEMBL1161835","chemblid",0.6026
"93","CHEMBL410282","chemblid",158.49
"94","CHEMBL270790","chemblid",1.995
"95","CHEMBL401548","chemblid",3.981
"96","CHEMBL79263","chemblid",1.585
"97","CHEMBL376970","chemblid",5.012
"98","CHEMBL1161834","chemblid",5
"99","CHEMBL401133","chemblid",31.62
"100","CHEMBL2113318","chemblid",6
"101","CHEMBL402023","chemblid",88
"102","CHEMBL417182","chemblid",16.6
"103","CHEMBL1161828","chemblid",1.096
"104","CHEMBL310457","chemblid",0.7943
"105","CHEMBL1161823","chemblid",5.6
"106","CHEMBL1162065","chemblid",0.28
"107","CHEMBL611489","chemblid",18.2
"108","CHEMBL1162062","chemblid",10
"109","CHEMBL296104","chemblid",6
"110","CHEMBL33182","chemblid",2.3
"111","CHEMBL284295","chemblid",4.467
"112","CHEMBL180540","chemblid",7.6
"113","CHEMBL181832","chemblid",2.1
"114","CHEMBL129637","chemblid",9.2
"115","CHEMBL209020","chemblid",3.02
"116","CHEMBL1161824","chemblid",2.089
"117","CHEMBL1161833","chemblid",57.54
"118","CHEMBL379074","chemblid",0.7943
"119","CHEMBL391980","chemblid",8.7
"120","CHEMBL398372","chemblid",1.9
"121","CHEMBL409462","chemblid",3
"122","CHEMBL277376","chemblid",36
"123","CHEMBL400125","chemblid",63.1
"124","CHEMBL251573","chemblid",2.512
"125","CHEMBL264170","chemblid",39.81
"126","CHEMBL256809","chemblid",39.81
"127","CHEMBL375103","chemblid",630
"128","CHEMBL374992","chemblid",11
"129","CHEMBL180591","chemblid",9.8
"130","CHEMBL398372","chemblid",1.92
"131","CHEMBL254167","chemblid",33.2
"132","CHEMBL254166","chemblid",3.1
"133","CHEMBL272753","chemblid",0.5012
"134","CHEMBL263916","chemblid",100
"135","CHEMBL181108","chemblid",12
"136","CHEMBL180659","chemblid",2
"137","CHEMBL179785","chemblid",0.85
"138","CHEMBL407706","chemblid",0.7943
"139","CHEMBL414394","chemblid",1.04
"140","CHEMBL254565","chemblid",1.11
"141","CHEMBL1161822","chemblid",4.786
"142","CHEMBL274599","chemblid",14
"143","CHEMBL133848","chemblid",1.82
"144","CHEMBL1162064","chemblid",17
"145","CHEMBL611488","chemblid",30.2
"146","CHEMBL296104","chemblid",6.026
"147","CHEMBL1161833","chemblid",57.54
"148","CHEMBL49884","chemblid",22
"149","CHEMBL429799","chemblid",42
"150","CHEMBL391088","chemblid",426
"151","CHEMBL236857","chemblid",868
"152","CHEMBL237060","chemblid",3170
"153","CHEMBL235793","chemblid",20
"154","CHEMBL235135","chemblid",107
"155","CHEMBL392076","chemblid",14
"156","CHEMBL254765","chemblid",0.42
"157","CHEMBL360877","chemblid",3.4
"158","CHEMBL399651","chemblid",16
"159","CHEMBL256236","chemblid",302
"160","CHEMBL402808","chemblid",244
"161","CHEMBL404336","chemblid",0.5
"162","CHEMBL237933","chemblid",17
"163","CHEMBL376258","chemblid",4
"164","CHEMBL260831","chemblid",39.81
"165","CHEMBL2364455","chemblid",79.43
"166","CHEMBL2364458","chemblid",12.59
"167","CHEMBL2364467","chemblid",31.62
"168","CHEMBL528332","chemblid",120
"169","CHEMBL1161835","chemblid",0.6026
"170","CHEMBL106841","chemblid",10
"171","CHEMBL1162064","chemblid",16.98
"172","CHEMBL608827","chemblid",30
"173","CHEMBL608826","chemblid",77.62
"174","CHEMBL284295","chemblid",4.5
"175","CHEMBL442151","chemblid",100
"176","CHEMBL241033","chemblid",NA
"177","CHEMBL47938","chemblid",1
"178","CHEMBL310457","chemblid",0.8
"179","CHEMBL259166","chemblid",0.2
"180","CHEMBL1161827","chemblid",2
"181","CHEMBL1161822","chemblid",4.8
"182","CHEMBL294923","chemblid",10
"183","CHEMBL1161823","chemblid",5.623
"184","CHEMBL13817","chemblid",1.349
"185","CHEMBL237932","chemblid",546
"186","CHEMBL392077","chemblid",4
"187","CHEMBL427680","chemblid",NA
"188","CHEMBL209360","chemblid",1.3
"189","CHEMBL47938","chemblid",1
"190","CHEMBL482203","chemblid",10
"191","CHEMBL489401","chemblid",30
"192","CHEMBL2364341","chemblid",63.1
"193","CHEMBL2364343","chemblid",10
"194","CHEMBL2364377","chemblid",10
"195","CHEMBL2364358","chemblid",10
"196","CHEMBL2364361","chemblid",50.12
