"","Id","Id.Type","Standard.Value"
"1","CHEMBL374073","chemblid",15
"2","CHEMBL427680","chemblid",1000
"3","CHEMBL391859","chemblid",560
"4","CHEMBL540604","chemblid",16
"5","CHEMBL403066","chemblid",1000
"6","CHEMBL252895","chemblid",NA
"7","CHEMBL252255","chemblid",1.9
"8","CHEMBL2113325","chemblid",24
"9","CHEMBL2113323","chemblid",29
"10","CHEMBL241775","chemblid",10
"11","CHEMBL253126","chemblid",5.6
"12","CHEMBL2113318","chemblid",9
"13","CHEMBL428383","chemblid",175
"14","CHEMBL392663","chemblid",63
"15","CHEMBL252695","chemblid",NA
"16","CHEMBL386218","chemblid",108
"17","CHEMBL254741","chemblid",800
"18","CHEMBL439251","chemblid",200
"19","CHEMBL374655","chemblid",12
"20","CHEMBL384524","chemblid",343
"21","CHEMBL240599","chemblid",1000
"22","CHEMBL1079046","chemblid",30
"23","CHEMBL1078677","chemblid",138
"24","CHEMBL506986","chemblid",1000
"25","CHEMBL506986","chemblid",1000
"26","CHEMBL509976","chemblid",1000
"27","CHEMBL509976","chemblid",14
"28","CHEMBL222610","chemblid",96
"29","CHEMBL413856","chemblid",580
"30","CHEMBL375150","chemblid",410
"31","CHEMBL223269","chemblid",520
"32","CHEMBL222789","chemblid",100
"33","CHEMBL375972","chemblid",78
"34","CHEMBL374501","chemblid",1000
"35","CHEMBL447444","chemblid",1000
"36","CHEMBL499371","chemblid",120
"37","CHEMBL1078497","chemblid",97
"38","CHEMBL1078608","chemblid",128
"39","CHEMBL1078982","chemblid",28
"40","CHEMBL501253","chemblid",80
"41","CHEMBL2164508","chemblid",129
"42","CHEMBL433540","chemblid",13.2
"43","CHEMBL383411","chemblid",2.5
"44","CHEMBL205963","chemblid",65
"45","CHEMBL203948","chemblid",186
"46","CHEMBL206741","chemblid",3.4
"47","CHEMBL377514","chemblid",0.4
"48","CHEMBL205796","chemblid",19
"49","CHEMBL424860","chemblid",6
"50","CHEMBL187427","chemblid",122
"51","CHEMBL440939","chemblid",93
"52","CHEMBL365721","chemblid",714
"53","CHEMBL206446","chemblid",3.7
"54","CHEMBL205568","chemblid",50
"55","CHEMBL383522","chemblid",0.2
"56","CHEMBL205486","chemblid",290
"57","CHEMBL205451","chemblid",16
"58","CHEMBL204474","chemblid",3610
"59","CHEMBL205450","chemblid",97
"60","CHEMBL2370788","chemblid",12
"61","CHEMBL444277","chemblid",780
"62","CHEMBL205568","chemblid",980
"63","CHEMBL282891","chemblid",391
"64","CHEMBL108025","chemblid",1e+05
"65","CHEMBL18853","chemblid",167
"66","CHEMBL178137","chemblid",620
"67","CHEMBL180755","chemblid",106
"68","CHEMBL181313","chemblid",77
"69","CHEMBL428698","chemblid",53
"70","CHEMBL428698","chemblid",57
"71","CHEMBL365721","chemblid",389
"72","CHEMBL203019","chemblid",137
"73","CHEMBL205711","chemblid",5.4
"74","CHEMBL383073","chemblid",283
"75","CHEMBL205484","chemblid",14
"76","CHEMBL275373","chemblid",185
"77","CHEMBL365294","chemblid",54
"78","CHEMBL1077617","chemblid",13
"79","CHEMBL1082044","chemblid",444
"80","CHEMBL1079322","chemblid",682
"81","CHEMBL1079323","chemblid",5615
"82","CHEMBL1078115","chemblid",846
"83","CHEMBL308716","chemblid",2800
"84","CHEMBL2113326","chemblid",70
"85","CHEMBL391588","chemblid",0.9
"86","CHEMBL392592","chemblid",53
"87","CHEMBL396682","chemblid",490
