"","Id","Id.Type"
"GHSR.Activity.CHEMBL4616.csv.1","CHEMBL188199","chemblid"
"GHSR.Activity.CHEMBL4616.csv.2","CHEMBL189233","chemblid"
"GHSR.Activity.CHEMBL4616.csv.3","CHEMBL186533","chemblid"
"GHSR.Activity.CHEMBL4616.csv.4","CHEMBL186535","chemblid"
"GHSR.Activity.CHEMBL4616.csv.5","CHEMBL363334","chemblid"
"GHSR.Activity.CHEMBL4616.csv.6","CHEMBL362777","chemblid"
"GHSR.Activity.CHEMBL4616.csv.7","CHEMBL189126","chemblid"
"GHSR.Activity.CHEMBL4616.csv.8","CHEMBL186445","chemblid"
"GHSR.Activity.CHEMBL4616.csv.9","CHEMBL187212","chemblid"
"GHSR.Activity.CHEMBL4616.csv.10","CHEMBL184196","chemblid"
"GHSR.Activity.CHEMBL4616.csv.11","CHEMBL186623","chemblid"
"GHSR.Activity.CHEMBL4616.csv.12","CHEMBL361503","chemblid"
"GHSR.Activity.CHEMBL4616.csv.13","CHEMBL186651","chemblid"
"GHSR.Activity.CHEMBL4616.csv.14","CHEMBL186222","chemblid"
"GHSR.Activity.CHEMBL4616.csv.15","CHEMBL2413147","chemblid"
"GHSR.Activity.CHEMBL4616.csv.16","CHEMBL185912","chemblid"
"GHSR.Activity.CHEMBL4616.csv.17","CHEMBL189560","chemblid"
"GHSR.Activity.CHEMBL4616.csv.18","CHEMBL186321","chemblid"
"GHSR.Activity.CHEMBL4616.csv.19","CHEMBL188351","chemblid"
"GHSR.Activity.CHEMBL4616.csv.20","CHEMBL594525","chemblid"
"GHSR.Activity.CHEMBL4616.csv.21","CHEMBL186595","chemblid"
"GHSR.Activity.CHEMBL4616.csv.22","CHEMBL4100119","chemblid"
"GHSR.Activity.CHEMBL4616.csv.23","CHEMBL435299","chemblid"
"GHSR.Activity.CHEMBL4616.csv.24","CHEMBL186828","chemblid"
"GHSR.Activity.CHEMBL4616.csv.25","CHEMBL362873","chemblid"
"GHSR.Activity.CHEMBL4616.csv.26","CHEMBL4077818","chemblid"
"GHSR.Activity.CHEMBL4616.csv.27","CHEMBL186879","chemblid"
"GHSR.Activity.CHEMBL4616.csv.28","CHEMBL362531","chemblid"
"GHSR.Activity.CHEMBL4616.csv.29","CHEMBL428282","chemblid"
"GHSR.IC50.CHEMBL4616.csv","CHEMBL191","chemblid"
"GHSR.Ki.CHEMBL4616.csv.3","CHEMBL365063","chemblid"
