"","Id","Id.Type","Standard.Value"
"1","CHEMBL393570","chemblid",5000
"2","CHEMBL429799","chemblid",2190
"3","CHEMBL392268","chemblid",2380
"4","CHEMBL392522","chemblid",5000
"5","CHEMBL237717","chemblid",1590
"6","CHEMBL391510","chemblid",4170
"7","CHEMBL497746","chemblid",240
"8","CHEMBL186623","chemblid",NA
"9","CHEMBL325062","chemblid",0.45
"10","CHEMBL3287216","chemblid",50.12
"11","CHEMBL113313","chemblid",7
"12","CHEMBL2426689","chemblid",10.47
"13","CHEMBL2426686","chemblid",3.311
"14","CHEMBL1923609","chemblid",6
"15","CHEMBL489818","chemblid",30
"16","CHEMBL489819","chemblid",2200
"17","CHEMBL482420","chemblid",90
"18","CHEMBL2048815","chemblid",114
"19","CHEMBL404227","chemblid",5000
"20","CHEMBL491044","chemblid",250
"21","CHEMBL188586","chemblid",1180
"22","CHEMBL188351","chemblid",NA
"23","CHEMBL189126","chemblid",NA
"24","CHEMBL189560","chemblid",NA
"25","CHEMBL362303","chemblid",220
"26","CHEMBL404336","chemblid",737
"27","CHEMBL185876","chemblid",1290
"28","CHEMBL270876","chemblid",503
"29","CHEMBL402808","chemblid",3940
"30","CHEMBL271082","chemblid",2510
"31","CHEMBL237933","chemblid",200
"32","CHEMBL362873","chemblid",NA
"33","CHEMBL308716","chemblid",63
"34","CHEMBL237302","chemblid",5000
"35","CHEMBL235793","chemblid",470
"36","CHEMBL238228","chemblid",1370
"37","CHEMBL236038","chemblid",2940
"38","CHEMBL271876","chemblid",40
"39","CHEMBL399625","chemblid",2660
"40","CHEMBL1957001","chemblid",0.1
"41","CHEMBL1957003","chemblid",0.5
"42","CHEMBL185887","chemblid",2030
"43","CHEMBL186535","chemblid",NA
"44","CHEMBL186045","chemblid",910
"45","CHEMBL111026","chemblid",18
"46","CHEMBL393576","chemblid",720
"47","CHEMBL402086","chemblid",298
"48","CHEMBL391428","chemblid",1900
"49","CHEMBL1956991","chemblid",0.2
"50","CHEMBL1957000","chemblid",0.3
"51","CHEMBL427860","chemblid",680
"52","CHEMBL1956992","chemblid",0.9
"53","CHEMBL1956994","chemblid",0.01
"54","CHEMBL1957005","chemblid",0.6
"55","CHEMBL1957008","chemblid",1.9
"56","CHEMBL2426688","chemblid",15.49
"57","CHEMBL393321","chemblid",1070
"58","CHEMBL236311","chemblid",1780
"59","CHEMBL237507","chemblid",2200
"60","CHEMBL237060","chemblid",5000
"61","CHEMBL236858","chemblid",4450
"62","CHEMBL237059","chemblid",5000
"63","CHEMBL235011","chemblid",820
"64","CHEMBL236513","chemblid",780
"65","CHEMBL3798645","chemblid",8
"66","CHEMBL3798056","chemblid",110
"67","CHEMBL3800172","chemblid",50
"68","CHEMBL3798559","chemblid",30
"69","CHEMBL3800298","chemblid",2
"70","CHEMBL187212","chemblid",NA
"71","CHEMBL2170694","chemblid",34.9
"72","CHEMBL2170693","chemblid",31.3
"73","CHEMBL489401","chemblid",260
"74","CHEMBL521612","chemblid",10000
"75","CHEMBL3394201","chemblid",9.2
"76","CHEMBL3394198","chemblid",50
"77","CHEMBL3394195","chemblid",6.4
"78","CHEMBL3394206","chemblid",28
"79","CHEMBL270851","chemblid",611
"80","CHEMBL235446","chemblid",3380
"81","CHEMBL237933","chemblid",200
"82","CHEMBL237932","chemblid",5000
"83","CHEMBL392076","chemblid",1720
"84","CHEMBL391429","chemblid",5000
"85","CHEMBL237058","chemblid",4750
"86","CHEMBL394130","chemblid",5000
"87","CHEMBL235135","chemblid",2390
"88","CHEMBL2164494","chemblid",392
"89","CHEMBL2426673","chemblid",20892.96
"90","CHEMBL186647","chemblid",1170
"91","CHEMBL410060","chemblid",240
