"","Id","Id.Type","Standard.Value"
"1","CHEMBL394054","chemblid",NA
"2","CHEMBL392191","chemblid",5
"3","CHEMBL393692","chemblid",NA
"4","CHEMBL428383","chemblid",24
"5","CHEMBL2113323","chemblid",8
"6","CHEMBL375859","chemblid",5
"7","CHEMBL385803","chemblid",17
"8","CHEMBL222622","chemblid",12
"9","CHEMBL374643","chemblid",4
"10","CHEMBL399650","chemblid",23
"11","CHEMBL266964","chemblid",41
"12","CHEMBL401084","chemblid",530
"13","CHEMBL392592","chemblid",18
"14","CHEMBL253126","chemblid",11
"15","CHEMBL249660","chemblid",NA
"16","CHEMBL428314","chemblid",35
"17","CHEMBL249640","chemblid",NA
"18","CHEMBL415134","chemblid",NA
"19","CHEMBL401467","chemblid",14
"20","CHEMBL399446","chemblid",14
"21","CHEMBL400879","chemblid",140
"22","CHEMBL249662","chemblid",NA
"23","CHEMBL397109","chemblid",8
"24","CHEMBL2113318","chemblid",6
"25","CHEMBL436849","chemblid",69
"26","CHEMBL253126","chemblid",11
"27","CHEMBL249638","chemblid",5
"28","CHEMBL249639","chemblid",102
"29","CHEMBL251640","chemblid",513
"30","CHEMBL250974","chemblid",25
"31","CHEMBL374655","chemblid",14
"32","CHEMBL415135","chemblid",76
"33","CHEMBL400174","chemblid",17
"34","CHEMBL401260","chemblid",NA
"35","CHEMBL414929","chemblid",93
"36","CHEMBL415136","chemblid",NA
"37","CHEMBL3394193","chemblid",NA
"38","CHEMBL3394206","chemblid",57
"39","CHEMBL397593","chemblid",51
"40","CHEMBL2113319","chemblid",7
"41","CHEMBL386218","chemblid",14
"42","CHEMBL240599","chemblid",NA
"43","CHEMBL398607","chemblid",NA
"44","CHEMBL241776","chemblid",10
"45","CHEMBL241664","chemblid",13
"46","CHEMBL400814","chemblid",19
"47","CHEMBL2113320","chemblid",NA
"48","CHEMBL401259","chemblid",93
"49","CHEMBL249659","chemblid",NA
"50","CHEMBL239007","chemblid",NA
"51","CHEMBL392902","chemblid",NA
"52","CHEMBL413608","chemblid",12
"53","CHEMBL266961","chemblid",34
"54","CHEMBL401468","chemblid",124
"55","CHEMBL374643","chemblid",4
"56","CHEMBL396681","chemblid",32
"57","CHEMBL393693","chemblid",27
"58","CHEMBL400175","chemblid",12
"59","CHEMBL250807","chemblid",129
"60","CHEMBL393565","chemblid",NA
"61","CHEMBL374655","chemblid",14
"62","CHEMBL3394205","chemblid",NA
"63","CHEMBL386218","chemblid",14
"64","CHEMBL392593","chemblid",27
"65","CHEMBL267197","chemblid",24
"66","CHEMBL399653","chemblid",NA
"67","CHEMBL399648","chemblid",6
"68","CHEMBL240179","chemblid",NA
"69","CHEMBL396682","chemblid",NA
"70","CHEMBL374643","chemblid",4
"71","CHEMBL400381","chemblid",97
"72","CHEMBL399649","chemblid",NA
"73","CHEMBL414930","chemblid",10
"74","CHEMBL441567","chemblid",NA
"75","CHEMBL3394200","chemblid",5
"76","CHEMBL3394203","chemblid",81
"77","CHEMBL399448","chemblid",65
"78","CHEMBL392805","chemblid",53
"79","CHEMBL399447","chemblid",19
"80","CHEMBL3394202","chemblid",328
"81","CHEMBL3394201","chemblid",14
"82","CHEMBL3394195","chemblid",14
"83","CHEMBL3287217","chemblid",17
"84","CHEMBL3394199","chemblid",28
"85","CHEMBL3394197","chemblid",NA
"86","CHEMBL374643","chemblid",4
"87","CHEMBL375859","chemblid",5
"88","CHEMBL222518","chemblid",19
"89","CHEMBL3581030","chemblid",12
"90","CHEMBL3394204","chemblid",95
"91","CHEMBL400814","chemblid",19
"92","CHEMBL385803","chemblid",17
