"","Id","Id.Type","Standard.Value"
"1","23631116","cid",4.85
"2","WGYPAJVJMXQXTR-ABNZCKJZSA-N","inchikey",0.027
"3","178024","cid",0.83
"4","9804938","cid",0.89
"5","53394052","cid",1.1
"6","68741723","cid",NA
"7","44576247","cid",36
"8","9914145","cid",3
"9","9918769","cid",0.18
"10",NA,NA,1.3
"11",NA,NA,NA
"12",NA,NA,483
"13",NA,NA,NA
"14",NA,NA,194
"15",NA,NA,NA
"16",NA,NA,NA
"17",NA,NA,NA
"18",NA,NA,67
"19",NA,NA,96
"20",NA,NA,NA
"21",NA,NA,121
"22",NA,NA,10.6
"23",NA,NA,298
"24",NA,NA,51
"25",NA,NA,NA
"26",NA,NA,NA
"27",NA,NA,306
"28",NA,NA,2164
"29",NA,NA,484
"30",NA,NA,970
"31",NA,NA,439
"32",NA,NA,634
"33",NA,NA,84.8
"34",NA,NA,117
"35",NA,NA,NA
"36",NA,NA,73
"37",NA,NA,40.7
"38",NA,NA,85.7
"39",NA,NA,NA
"40",NA,NA,NA
"41",NA,NA,70
"42",NA,NA,189
"43",NA,NA,NA
"44",NA,NA,NA
"45",NA,NA,NA
"46",NA,NA,NA
"47",NA,NA,363
"48",NA,NA,937
"49",NA,NA,1276
"50",NA,NA,29.4
"51",NA,NA,NA
"52",NA,NA,NA
"53",NA,NA,NA
"54",NA,NA,NA
"55",NA,NA,NA
"56",NA,NA,NA
"57",NA,NA,NA
"58",NA,NA,NA
"59",NA,NA,NA
"60",NA,NA,NA
"61",NA,NA,NA
"62",NA,NA,NA
"63",NA,NA,NA
"64",NA,NA,NA
"65",NA,NA,NA
"66",NA,NA,NA
"67","FKPKICLXNOBYBR-UHFFFAOYSA-N","inchikey",380
"68","LUHZBXZMFRLZLL-UHFFFAOYSA-N","inchikey",77
"69","ZODQVQVYUKGKLA-UHFFFAOYSA-N","inchikey",NA
"70","VAQXBWKZPWFGHX-UHFFFAOYSA-N","inchikey",NA
"71","FVZCUOAEJAWIKG-UHFFFAOYSA-N","inchikey",NA
"72","LRHVZVGXCWUXPU-UHFFFAOYSA-N","inchikey",NA
"73","OHRYZRDOLHVZQW-UHFFFAOYSA-N","inchikey",310
"74","MVCDTDJOWSBHKB-UHFFFAOYSA-N","inchikey",310
"75","WWMWHXCJRJZLFM-UHFFFAOYSA-N","inchikey",30
"76","KLKKSWONMUSEJH-UHFFFAOYSA-N","inchikey",30
"77","QCQVGWLAWRECNZ-UHFFFAOYSA-N","inchikey",18
"78","NHQZWSZAIQXNLX-UHFFFAOYSA-N","inchikey",3.7
"79","9890863","cid",3.5
"80","9914145","cid",3
"81","10874830","cid",210
"82","121879","cid",60
"83","LMBFVVBQYYWDKN-INIZCTEOSA-N","inchikey",0.7
"84","LMBFVVBQYYWDKN-MRXNPFEDSA-N","inchikey",0.6
"85","DNOIVKFZSAZHBD-HNNXBMFYSA-N","inchikey",1.6
"86","XMXGYFBVLHBOTN-INIZCTEOSA-N","inchikey",2.9
"87","VGMJMWHKRBPBBK-WMCAAGNKSA-N","inchikey",1.4
"88",NA,NA,2.1
"89","FSBOJGLGLKEJDV-HNNXBMFYSA-N","inchikey",1
