"","Id","Id.Type","Standard.Value"
"1","58438464","cid",5
"2",NA,NA,53
"3","36511","cid",75
"4","71453489","cid",30
"5","44576247","cid",100
"6","9914145","cid",1.2
"7",NA,NA,530
"8",NA,NA,3.75
"9",NA,NA,43.5
"10",NA,NA,6.95
"11",NA,NA,1210
"12",NA,NA,4010
"13",NA,NA,369
"14",NA,NA,2330
"15",NA,NA,NA
"16",NA,NA,NA
"17",NA,NA,171
"18",NA,NA,303
"19",NA,NA,NA
"20",NA,NA,571
"21",NA,NA,156
"22",NA,NA,2870
"23",NA,NA,80
"24",NA,NA,2700
"25",NA,NA,1130
"26",NA,NA,192
"27",NA,NA,8080
"28",NA,NA,4540
"29",NA,NA,5400
"30",NA,NA,1800
"31",NA,NA,798
"32",NA,NA,85.9
"33",NA,NA,282
"34",NA,NA,919
"35",NA,NA,329
"36",NA,NA,315
"37",NA,NA,120
"38",NA,NA,1300
"39",NA,NA,1510
"40",NA,NA,240
"41",NA,NA,1166
"42",NA,NA,106
"43",NA,NA,2367
"44",NA,NA,2005
"45",NA,NA,148
"46",NA,NA,530
"47",NA,NA,2920
"48",NA,NA,1276
"49",NA,NA,68.2
"50",NA,NA,5.6
"51",NA,NA,52
"52",NA,NA,68.5
"53",NA,NA,82.9
"54",NA,NA,5.3
"55",NA,NA,587
"56",NA,NA,29.5
"57",NA,NA,20.6
"58",NA,NA,64.2
"59",NA,NA,65.2
"60",NA,NA,9.3
"61",NA,NA,3.7
"62",NA,NA,1.8
"63",NA,NA,18.2
"64",NA,NA,0.4
"65",NA,NA,NA
"66",NA,NA,935.2
"67",NA,NA,16
"68",NA,NA,70.5
"69",NA,NA,0.02
"70",NA,NA,8.1
"71",NA,NA,4
"72",NA,NA,3.8
"73",NA,NA,0.3
"74",NA,NA,200
"75",NA,NA,65
"76",NA,NA,6.7
"77",NA,NA,86.3
"78",NA,NA,31.9
"79",NA,NA,21.7
"80",NA,NA,3.3
"81",NA,NA,28.8
"82",NA,NA,66.2
"83",NA,NA,45
"84",NA,NA,94.1
"85",NA,NA,146
"86",NA,NA,9.9
"87",NA,NA,33.7
"88",NA,NA,9.3
"89",NA,NA,9.6
"90",NA,NA,262
"91",NA,NA,4.1
"92",NA,NA,1068
"93",NA,NA,0.1
"94",NA,NA,6.4
"95",NA,NA,7
"96",NA,NA,6.7
"97",NA,NA,7.8
"98",NA,NA,6
"99",NA,NA,7.2
"100",NA,NA,5.9
"101",NA,NA,6.6
"102",NA,NA,NA
"103",NA,NA,NA
"104",NA,NA,NA
"105",NA,NA,NA
"106",NA,NA,NA
"107",NA,NA,7.1
"108",NA,NA,7.9
"109",NA,NA,7.9
"110",NA,NA,7.5
"111",NA,NA,6.7
"112",NA,NA,7.3
"113",NA,NA,NA
"114",NA,NA,NA
"115",NA,NA,7.9
"116",NA,NA,6.6
"117",NA,NA,NA
"118",NA,NA,6.3
"119",NA,NA,6.3
"120",NA,NA,7
"121",NA,NA,6.7
"122",NA,NA,7.2
"123",NA,NA,NA
"124",NA,NA,NA
"125",NA,NA,NA
"126",NA,NA,NA
"127",NA,NA,NA
"128",NA,NA,6.5
"129",NA,NA,6.5
"130",NA,NA,6.7
"131",NA,NA,7.5
"132",NA,NA,8.4
"133",NA,NA,6.3
"134",NA,NA,NA
"135",NA,NA,NA
"136",NA,NA,7.9
"137",NA,NA,NA
"138",NA,NA,NA
"139",NA,NA,NA
"140",NA,NA,NA
"141",NA,NA,NA
"142",NA,NA,NA
"143",NA,NA,NA
"144",NA,NA,NA
"145",NA,NA,NA
"146",NA,NA,NA
"147",NA,NA,NA
"148",NA,NA,NA
"149",NA,NA,NA
"150",NA,NA,NA
"151",NA,NA,NA
"152",NA,NA,NA
"153",NA,NA,502
"154",NA,NA,2100
"155",NA,NA,3430
"156",NA,NA,3640
"157",NA,NA,2110
"158",NA,NA,2460
"159",NA,NA,NA
"160",NA,NA,388
"161",NA,NA,NA
"162",NA,NA,NA
"163",NA,NA,1570
"164",NA,NA,2360
"165",NA,NA,1620
"166",NA,NA,2070
"167",NA,NA,2300
"168",NA,NA,4700
"169",NA,NA,1.3
"170","57422817","cid",0.77
"171",NA,NA,6.7
"172","23649669","cid",1.9
"173",NA,NA,49
"174","NTOZZABUBGBASR-UHFFFAOYSA-N","inchikey",55
"175","WGMWHTHAGNNNDZ-UHFFFAOYSA-N","inchikey",5.5
"176","LLKFGUJTWRDSHC-UHFFFAOYSA-N","inchikey",2
"177","KZKDQLCRFHOYRX-UHFFFAOYSA-N","inchikey",6.6
"178","IDQOBIWYUZPCJJ-UHFFFAOYSA-N","inchikey",0.35
"179","SSNRYJBICOYCRB-UHFFFAOYSA-N","inchikey",0.39
"180",NA,NA,210
"181",NA,NA,76
"182",NA,NA,120
"183",NA,NA,4700
"184",NA,NA,NA
"185",NA,NA,44
"186",NA,NA,27
"187",NA,NA,83
"188",NA,NA,23
"189",NA,NA,8.7
"190",NA,NA,13
"191",NA,NA,65
"192",NA,NA,8.6
"193",NA,NA,1.3
"194",NA,NA,4.2
"195",NA,NA,0.78
"196",NA,NA,5.1
"197",NA,NA,0.33
"198",NA,NA,0.31
"199",NA,NA,0.15
"200",NA,NA,0.29
"201",NA,NA,0.77
"202",NA,NA,0.69
"203",NA,NA,0.67
"204",NA,NA,8.8
"205",NA,NA,0.53
"206",NA,NA,0.48
"207",NA,NA,1.3
"208",NA,NA,0.62
"209",NA,NA,0.31
"210",NA,NA,0.24
"211",NA,NA,0.57
"212",NA,NA,0.43
"213",NA,NA,3.9
"214",NA,NA,2.9
"215",NA,NA,15
"216",NA,NA,33
"217",NA,NA,6.7
"218",NA,NA,0.92
"219",NA,NA,0.4
"220",NA,NA,7.2
