"","Id","Id.Type","Standard.Value"
"1","23631116","cid",6.57
"2","16114404","cid",43
"3",NA,NA,1.3
"4","134817268","cid",1.4
"5","178024","cid",6
"6","9804938","cid",230
"7","53394052","cid",6.5
"8","68741723","cid",1
"9",NA,NA,120
"10","36511","cid",75
"11",NA,NA,281
"12",NA,NA,1170
"13",NA,NA,1920
"14",NA,NA,2030
"15",NA,NA,1180
"16",NA,NA,1370
"17",NA,NA,NA
"18",NA,NA,217
"19",NA,NA,NA
"20",NA,NA,NA
"21",NA,NA,875
"22",NA,NA,1320
"23",NA,NA,905
"24",NA,NA,1150
"25",NA,NA,1290
"26",NA,NA,2630
"27",NA,NA,18.9
"28",NA,NA,33
"29",NA,NA,11
"30",NA,NA,6
"31",NA,NA,108
"32",NA,NA,7
"33",NA,NA,19
"34","FOOGWQIDOZUTSZ-JTQLQIEISA-N","inchikey",3.75
