"","Id","Id.Type","Standard.Value"
"1",44570962,"cid","5.012e-05"
"2",16752684,"cid","0.0001585"
"3",16752684,"cid","0.0001585"
"4",44570963,"cid","0.0001585"
"5",178024,"cid","0.0001995"
"6",44444563,"cid","0.0001995"
"7",44571002,"cid","0.0001995"
"8",44570960,"cid","0.0002512"
"9",24894012,"cid","0.00027"
"10",44437979,"cid","0.0002818"
"11",44454303,"cid","3e-04"
"12",24803512,"cid","0.0003162"
"13",44570764,"cid","0.0003162"
"14",9917957,"cid","0.00034"
"15",44447855,"cid","0.00034"
"16",44452749,"cid","0.0003981"
"17",44570765,"cid","0.0003981"
"18",59007047,"cid","0.0003981"
"19",25022640,"cid","4e-04"
"20",44454337,"cid","4e-04"
"21",44447839,"cid","0.00042"
"22",44447857,"cid","0.00045"
"23",11306502,"cid","0.00046"
"24",11306502,"cid","0.00046"
"25",22888474,"cid","0.00046"
"26",22888476,"cid","0.00049"
"27",22888476,"cid","0.00049"
"28",44454117,"cid","5e-04"
"29",24803514,"cid","0.0005012"
"30",44444559,"cid","0.0005012"
"31",44453123,"cid","0.0005012"
"32",44570966,"cid","0.0005012"
"33",59007062,"cid","0.0005012"
"34",44447852,"cid","0.00051"
"35",16114096,"cid","6e-04"
"36",44454367,"cid","6e-04"
"37",67457995,"cid","6e-04"
"38",22867441,"cid","0.0006026"
"39",22867441,"cid","0.0006026"
"40",44447841,"cid","0.00061"
"41",69195371,"cid","0.000631"
"42",44391039,"cid","0.00066"
"43",44447843,"cid","0.00072"
"44",10280020,"cid","0.00073"
"45",10345516,"cid","0.0007943"
"46",10345516,"cid","0.0007943"
"47",10553921,"cid","0.0007943"
"48",11584048,"cid","0.0007943"
"49",24755624,"cid","0.0007943"
"50",24755624,"cid","0.0007943"
"51",44444571,"cid","0.0007943"
"52",69197353,"cid","0.0007943"
"53",71716660,"cid","0.0007943"
"54",44454060,"cid","8e-04"
"55",20600693,"cid","0.00085"
"56",44560945,"cid","9e-04"
"57",9807597,"cid","0.001"
"58",9807597,"cid","0.001"
"59",9890504,"cid","0.001"
"60",11512561,"cid","0.001"
"61",11518200,"cid","0.001"
"62",11526696,"cid","0.001"
"63",11526745,"cid","0.001"
"64",11584702,"cid","0.001"
"65",11641108,"cid","0.001"
"66",11664206,"cid","0.001"
"67",24969109,"cid","0.001"
"68",44570763,"cid","0.001"
"69",56926175,"cid","0.001"
"70",56926356,"cid","0.001"
"71",56926461,"cid","0.001"
"72",56926462,"cid","0.001"
"73",56926894,"cid","0.001"
"74",57399248,"cid","0.001"
"75",69197887,"cid","0.001"
"76",117812380,"cid","0.001"
"77",134130631,"cid","0.001"
"78",134132152,"cid","0.001"
"79",134132893,"cid","0.001"
"80",134133037,"cid","0.001"
"81",134133352,"cid","0.001"
"82",134133518,"cid","0.001"
"83",134134286,"cid","0.001"
"84",134135712,"cid","0.001"
"85",134137202,"cid","0.001"
"86",134137257,"cid","0.001"
"87",134138595,"cid","0.001"
"88",134138824,"cid","0.001"
"89",134139279,"cid","0.001"
"90",134139286,"cid","0.001"
"91",134140270,"cid","0.001"
"92",134141886,"cid","0.001"
"93",134142204,"cid","0.001"
"94",134142218,"cid","0.001"
"95",134142433,"cid","0.001"
"96",134142839,"cid","0.001"
"97",134143366,"cid","0.001"
"98",134143635,"cid","0.001"
"99",134145564,"cid","0.001"
"100",134145791,"cid","0.001"
"101",134147441,"cid","0.001"
"102",134148504,"cid","0.001"
"103",134149306,"cid","0.001"
"104",134153247,"cid","0.001"
"105",134154079,"cid","0.001"
"106",134155132,"cid","0.001"
"107",134155239,"cid","0.001"
"108",44447856,"cid","0.00104"
"109",10323604,"cid","0.001096"
"110",10323604,"cid","0.001096"
"111",44447853,"cid","0.00111"
"112",25022503,"cid","0.00118"
"113",44570965,"cid","0.001259"
"114",69194933,"cid","0.001259"
"115",69198297,"cid","0.001259"
"116",44447850,"cid","0.00126"
"117",90666017,"cid","0.0013"
"118",178024,"cid","0.001349"
"119",44411920,"cid","0.001349"
"120",22888475,"cid","0.0014"
"121",44576256,"cid","0.0014"
"122",44576256,"cid","0.0014"
"123",44576256,"cid","0.00141"
"124",44576256,"cid","0.00142"
"125",178024,"cid","0.00143"
"126",11353414,"cid","0.0015"
"127",11353414,"cid","0.0015"
"128",44390996,"cid","0.0015"
"129",9875705,"cid","0.001585"
"130",10625750,"cid","0.001585"
"131",11648350,"cid","0.001585"
"132",24803348,"cid","0.001585"
"133",59007043,"cid","0.001585"
"134",69197106,"cid","0.001585"
"135",69197228,"cid","0.001585"
"136",16114292,"cid","0.0016"
"137",44436850,"cid","0.0016"
"138",44447840,"cid","0.0016"
"139",44447854,"cid","0.00166"
"140",44447844,"cid","0.00179"
"141",10118326,"cid","0.00182"
"142",23649669,"cid","0.0019"
"143",23649669,"cid","0.00192"
"144",23649669,"cid","0.00192"
"145",10626337,"cid","0.001995"
"146",10626337,"cid","0.001995"
"147",11547664,"cid","0.001995"
"148",11641478,"cid","0.001995"
"149",24803350,"cid","0.001995"
"150",44437955,"cid","0.001995"
"151",44452750,"cid","0.001995"
"152",44452932,"cid","0.001995"
"153",44570700,"cid","0.001995"
"154",69197169,"cid","0.001995"
"155",22888352,"cid","0.002"
"156",22888352,"cid","0.002"
"157",25098836,"cid","0.002"
"158",44411634,"cid","0.002089"
"159",44411634,"cid","0.002089"
"160",44390986,"cid","0.0021"
"161",71460659,"cid","0.0021"
"162",44281449,"cid","0.002291"
"163",10166594,"cid","0.0023"
"164",23648249,"cid","0.0023"
"165",44391010,"cid","0.0024"
"166",23648244,"cid","0.0025"
"167",11539642,"cid","0.002512"
"168",11648834,"cid","0.002512"
"169",11683968,"cid","0.002512"
"170",44411745,"cid","0.002512"
"171",44411745,"cid","0.002512"
"172",44444565,"cid","0.002512"
"173",44570702,"cid","0.002512"
"174",59007081,"cid","0.002512"
"175",69195597,"cid","0.002512"
"176",69197883,"cid","0.002512"
"177",44411753,"cid","0.002692"
"178",44411753,"cid","0.002692"
"179",71453489,"cid","0.0028"
"180",10415000,"cid","0.002818"
"181",16114292,"cid","0.003"
"182",16114292,"cid","0.003"
"183",23730225,"cid","0.003"
"184",44579823,"cid","0.003"
"185",9805090,"cid","0.00302"
"186",9810101,"cid","0.00302"
"187",9810101,"cid","0.00302"
"188",10005618,"cid","0.00302"
"189",15481181,"cid","0.00302"
"190",15481181,"cid","0.00302"
"191",15481188,"cid","0.00302"
"192",15481188,"cid","0.00302"
"193",46905972,"cid","0.00302"
"194",54458823,"cid","0.00302"
"195",44447846,"cid","0.0031"
"196",44444566,"cid","0.003162"
"197",44570961,"cid","0.003162"
"198",59007103,"cid","0.003162"
"199",69194503,"cid","0.003162"
"200",69195095,"cid","0.003162"
"201",69197358,"cid","0.003162"
"202",23730341,"cid","0.0033"
"203",71453489,"cid","0.0033"
"204",22888424,"cid","0.0034"
"205",44390914,"cid","0.0034"
"206",71453489,"cid","0.0034"
"207",23730228,"cid","0.0038"
"208",71453489,"cid","0.0038"
"209",11698505,"cid","0.003981"
"210",11712867,"cid","0.003981"
"211",15481185,"cid","0.003981"
"212",15481185,"cid","0.003981"
"213",24803347,"cid","0.003981"
"214",25022506,"cid","0.003981"
"215",44444568,"cid","0.003981"
"216",44570699,"cid","0.003981"
"217",46882394,"cid","0.003981"
"218",46882395,"cid","0.003981"
"219",69194471,"cid","0.003981"
"220",69196498,"cid","0.003981"
"221",69197028,"cid","0.003981"
"222",69198238,"cid","0.003981"
"223",16113580,"cid","0.004"
"224",16113580,"cid","0.004"
"225",25211977,"cid","0.004"
"226",44434111,"cid","0.004"
"227",44391032,"cid","0.0043"
"228",44281450,"cid","0.004467"
"229",44411584,"cid","0.004786"
"230",44411584,"cid","0.004786"
"231",22888433,"cid","0.0049"
"232",11526696,"cid","0.005"
"233",44390980,"cid","0.005"
"234",10029990,"cid","0.005012"
"235",10029990,"cid","0.005012"
"236",10602640,"cid","0.005012"
"237",10602640,"cid","0.005012"
"238",10791616,"cid","0.005012"
"239",10791616,"cid","0.005012"
"240",11719784,"cid","0.005012"
"241",22862436,"cid","0.005012"
"242",22862436,"cid","0.005012"
"243",24969114,"cid","0.005012"
"244",44444562,"cid","0.005012"
"245",44570967,"cid","0.005012"
"246",59007054,"cid","0.005012"
"247",59007076,"cid","0.005012"
"248",69194482,"cid","0.005012"
"249",69197071,"cid","0.005012"
"250",69197196,"cid","0.005012"
"251",16114097,"cid","0.0053"
"252",16113710,"cid","0.0054"
"253",23730226,"cid","0.0055"
"254",22888425,"cid","0.0056"
"255",44411632,"cid","0.005623"
"256",44411632,"cid","0.005623"
"257",71456992,"cid","0.0057"
"258",16113371,"cid","0.006"
"259",10506325,"cid","0.006026"
"260",10506325,"cid","0.006026"
"261",44411905,"cid","0.006026"
"262",44411905,"cid","0.006026"
"263",44437953,"cid","0.006026"
"264",44436857,"cid","0.0061"
"265",10006735,"cid","0.00631"
"266",11518463,"cid","0.00631"
"267",11562329,"cid","0.00631"
"268",11712108,"cid","0.00631"
"269",44571003,"cid","0.00631"
"270",69195024,"cid","0.00631"
"271",69195880,"cid","0.00631"
"272",69196868,"cid","0.00631"
"273",69196876,"cid","0.00631"
"274",69196990,"cid","0.00631"
"275",122178176,"cid","0.00631"
"276",44390922,"cid","0.0064"
"277",71453488,"cid","0.0067"
"278",44447842,"cid","0.00675"
"279",44579756,"cid","0.007"
"280",71453488,"cid","0.0072"
"281",71453489,"cid","0.0072"
"282",10209618,"cid","0.0073"
"283",44391041,"cid","0.0073"
"284",10600702,"cid","0.007586"
"285",10600702,"cid","0.007586"
"286",22888395,"cid","0.0076"
"287",16113248,"cid","0.0077"
"288",23730342,"cid","0.0079"
"289",11539144,"cid","0.007943"
"290",11583902,"cid","0.007943"
"291",11683663,"cid","0.007943"
"292",44570920,"cid","0.007943"
"293",44571005,"cid","0.007943"
"294",69196669,"cid","0.007943"
"295",69197149,"cid","0.007943"
"296",69197315,"cid","0.007943"
"297",69198030,"cid","0.007943"
"298",10032658,"cid","0.00795"
"299",44411720,"cid","0.008511"
"300",44411720,"cid","0.008511"
"301",44411902,"cid","0.008511"
"302",44411902,"cid","0.008511"
"303",44436883,"cid","0.0087"
"304",44391024,"cid","0.009"
"305",44391021,"cid","0.0092"
"306",71455197,"cid","0.0094"
"307",23730343,"cid","0.0095"
"308",22888359,"cid","0.0098"
"309",16114514,"cid","0.0099"
"310",9827234,"cid","0.01"
"311",11525404,"cid","0.01"
"312",11655608,"cid","0.01"
"313",11682686,"cid","0.01"
"314",24969294,"cid","0.01"
"315",44293557,"cid","0.01"
"316",44293557,"cid","0.01"
"317",44411718,"cid","0.01"
"318",44411718,"cid","0.01"
"319",44434120,"cid","0.01"
"320",44444572,"cid","0.01"
"321",44571004,"cid","0.01"
"322",44579774,"cid","0.01"
"323",44579802,"cid","0.01"
"324",44579844,"cid","0.01"
"325",44579859,"cid","0.01"
"326",69194607,"cid","0.01"
"327",69194649,"cid","0.01"
"328",69195141,"cid","0.01"
"329",69196750,"cid","0.01"
"330",69197049,"cid","0.01"
