"","Id","Id.Type","Standard.Value"
"1",44390849,"cid","2e-05"
"2",25227441,"cid","7.8e-05"
"3",44582529,"cid","8e-05"
"4",44582528,"cid","0.00012"
"5",71720337,"cid","0.00012"
"6",90665845,"cid","0.00012"
"7",44576256,"cid","0.00014"
"8",57422686,"cid","0.00015"
"9",71719119,"cid","0.00016"
"10",11340044,"cid","2e-04"
"11",44336274,"cid","2e-04"
"12",70691550,"cid","2e-04"
"13",122180027,"cid","0.00023"
"14",44390862,"cid","0.00024"
"15",118709502,"cid","0.00024"
"16",16134923,"cid","0.00025"
"17",44576256,"cid","0.00025"
"18",90665847,"cid","0.00028"
"19",57422687,"cid","0.00029"
"20",11225576,"cid","3e-04"
"21",11225576,"cid","3e-04"
"22",16114292,"cid","3e-04"
"23",16114292,"cid","3e-04"
"24",16114292,"cid","3e-04"
"25",122182047,"cid","3e-04"
"26",25260749,"cid","0.00031"
"27",57422792,"cid","0.00031"
"28",57422692,"cid","0.00033"
"29",44576252,"cid","0.00035"
"30",44576256,"cid","0.00039"
"31",122182043,"cid","0.00039"
"32",178024,"cid","4e-04"
"33",11410373,"cid","4e-04"
"34",11431274,"cid","4e-04"
"35",118709506,"cid","4e-04"
"36",44582531,"cid","0.00042"
"37",122182046,"cid","0.00042"
"38",25260745,"cid","0.00043"
"39",122182190,"cid","0.00044"
"40",57422768,"cid","0.00048"
"41",16114096,"cid","5e-04"
"42",178024,"cid","0.00051"
"43",57422690,"cid","0.00053"
"44",118709503,"cid","0.00057"
"45",16114292,"cid","6e-04"
"46",44436850,"cid","6e-04"
"47",66788278,"cid","6e-04"
"48",57422793,"cid","0.00062"
"49",178024,"cid","0.00063"
"50",57422688,"cid","0.00067"
"51",57785733,"cid","0.00069"
"52",16113245,"cid","7e-04"
"53",44445600,"cid","7e-04"
"54",44368296,"cid","0.00071"
"55",178024,"cid","0.00076"
"56",44357782,"cid","0.00077"
"57",57422817,"cid","0.00077"
"58",11476589,"cid","8e-04"
"59",44582898,"cid","0.00087"
"60",44436857,"cid","9e-04"
"61",90666039,"cid","0.00091"
"62",118709505,"cid","0.00092"
"63",71720335,"cid","0.00096"
"64",122180026,"cid","0.00096"
"65",71720336,"cid","0.00098"
"66",44409536,"cid","0.001"
"67",70691551,"cid","0.001"
"68",71456897,"cid","0.001"
"69",44445595,"cid","0.0011"
"70",90665850,"cid","0.0011"
"71",90665851,"cid","0.0011"
"72",11134880,"cid","0.001155"
"73",9804743,"cid","0.0012"
"74",11712151,"cid","0.0012"
"75",25261382,"cid","0.0013"
"76",56942098,"cid","0.0013"
"77",57422789,"cid","0.0013"
"78",56942244,"cid","0.0014"
"79",11339816,"cid","0.0015"
"80",44409756,"cid","0.0015"
"81",90665846,"cid","0.0015"
"82",44390840,"cid","0.0016"
"83",90666012,"cid","0.0016"
"84",90666031,"cid","0.0016"
"85",90666017,"cid","0.0017"
"86",90666027,"cid","0.0017"
"87",44445594,"cid","0.0018"
"88",90666013,"cid","0.0018"
"89",11431274,"cid","0.0019"
"90",44445599,"cid","0.0019"
"91",44446187,"cid","0.0019"
"92",11328920,"cid","0.002"
"93",44409821,"cid","0.002"
"94",46882307,"cid","0.002"
"95",56942098,"cid","0.002"
"96",56942242,"cid","0.002"
"97",57797640,"cid","0.002"
"98",66788278,"cid","0.002"
"99",122178606,"cid","0.002"
"100",122178609,"cid","0.002"
"101",127046956,"cid","0.002"
"102",127046956,"cid","0.002"
"103",9804743,"cid","0.0021"
"104",46880629,"cid","0.0021"
"105",122178606,"cid","0.0021"
"106",122178606,"cid","0.0021"
"107",44576256,"cid","0.002291"
"108",11683469,"cid","0.0024"
"109",11454617,"cid","0.0025"
"110",70681021,"cid","0.0025"
"111",70691552,"cid","0.0025"
"112",44576247,"cid","0.0026"
"113",44409672,"cid","0.0027"
"114",90666029,"cid","0.0027"
"115",11154823,"cid","0.0028"
"116",11190594,"cid","0.0028"
"117",122178607,"cid","0.0028"
"118",11583811,"cid","0.0029"
"119",25260900,"cid","0.0029"
"120",46880631,"cid","0.0029"
"121",11410373,"cid","0.003"
"122",44394982,"cid","0.003"
"123",44445611,"cid","0.003"
"124",56942099,"cid","0.003"
"125",56942242,"cid","0.003"
"126",56942243,"cid","0.003"
"127",66788278,"cid","0.003"
"128",70681018,"cid","0.003"
"129",70685225,"cid","0.003"
"130",122178605,"cid","0.003"
"131",122182189,"cid","0.003"
"132",127045858,"cid","0.003"
"133",25091011,"cid","0.0032"
"134",56942385,"cid","0.0032"
"135",44409673,"cid","0.0034"
"136",56942099,"cid","0.0034"
"137",56942243,"cid","0.0034"
"138",122178608,"cid","0.0034"
"139",11339816,"cid","0.0036"
"140",11690097,"cid","0.0037"
"141",57422695,"cid","0.0039"
"142",25124566,"cid","0.003981"
"143",9890863,"cid","0.004"
"144",11846463,"cid","0.004"
"145",44409864,"cid","0.004"
"146",56942098,"cid","0.004"
"147",122178607,"cid","0.004"
"148",127045858,"cid","0.004"
"149",127046957,"cid","0.004"
"150",127046957,"cid","0.004"
"151",127047655,"cid","0.004"
"152",46880630,"cid","0.0041"
"153",70685219,"cid","0.0041"
"154",11430392,"cid","0.0042"
"155",44390871,"cid","0.0042"
"156",57785737,"cid","0.0042"
"157",16113245,"cid","0.0045"
"158",70682037,"cid","0.0046"
"159",122178607,"cid","0.0046"
"160",90666040,"cid","0.0048"
"161",44445626,"cid","0.005"
"162",90666025,"cid","0.005"
"163",57422776,"cid","0.0051"
"164",90666024,"cid","0.0051"
"165",44409990,"cid","0.0052"
"166",44409758,"cid","0.0054"
"167",44409821,"cid","0.0054"
"168",122178608,"cid","0.0054"
"169",122180024,"cid","0.0054"
"170",44409684,"cid","0.0055"
"171",16113003,"cid","0.0056"
"172",16113003,"cid","0.0056"
"173",11605333,"cid","0.0057"
"174",90666030,"cid","0.0057"
"175",11340044,"cid","0.0058"
"176",11692087,"cid","0.006"
"177",11692087,"cid","0.006"
"178",16113245,"cid","0.006"
"179",16113695,"cid","0.006"
"180",16113695,"cid","0.006"
"181",16113695,"cid","0.006"
"182",16113695,"cid","0.006"
"183",44409809,"cid","0.006"
"184",44409989,"cid","0.006"
"185",44436888,"cid","0.006"
"186",46880568,"cid","0.006"
"187",70687383,"cid","0.006"
"188",122178610,"cid","0.006"
"189",9919153,"cid","0.00608"
"190",44576252,"cid","0.0061"
"191",90666018,"cid","0.0061"
"192",11612155,"cid","0.0063"
"193",118722878,"cid","0.00631"
"194",16114097,"cid","0.0065"
"195",25260901,"cid","0.0067"
"196",11190594,"cid","0.0068"
"197",11179347,"cid","0.0069"
"198",122180021,"cid","0.0069"
"199",11340329,"cid","0.007"
"200",11441554,"cid","0.007"
"201",11538533,"cid","0.007"
