"","Id","Id.Type","Standard.Value"
"1",16113695,"cid","0.004"
"2",16113695,"cid","0.004"
"3",16113695,"cid","0.004"
"4",16113695,"cid","0.004"
"5",16113902,"cid","0.005"
"6",16113902,"cid","0.005"
"7",44436885,"cid","0.005"
"8",44445592,"cid","0.005"
"9",118725961,"cid","0.005"
"10",16113371,"cid","0.006"
"11",44445611,"cid","0.006"
"12",16113372,"cid","0.007"
"13",16113370,"cid","0.008"
"14",44436829,"cid","0.008"
"15",23648245,"cid","0.01"
"16",44445616,"cid","0.01"
"17",16113003,"cid","0.011"
"18",16113003,"cid","0.011"
"19",16113245,"cid","0.012"
"20",16113905,"cid","0.012"
"21",44445600,"cid","0.012"
"22",44445610,"cid","0.012"
"23",44436828,"cid","0.013"
"24",16113468,"cid","0.014"
"25",16113468,"cid","0.014"
"26",16113904,"cid","0.014"
"27",16113904,"cid","0.014"
"28",44445591,"cid","0.014"
"29",44445606,"cid","0.014"
"30",67406727,"cid","0.014"
"31",118725956,"cid","0.014"
"32",16203569,"cid","0.017"
"33",16203569,"cid","0.017"
"34",44445593,"cid","0.017"
"35",58438460,"cid","0.017"
"36",44436842,"cid","0.018"
"37",16113796,"cid","0.019"
"38",16114404,"cid","0.019"
"39",16114404,"cid","0.019"
"40",44445594,"cid","0.019"
"41",44445619,"cid","0.023"
"42",44436817,"cid","0.024"
"43",44445626,"cid","0.024"
"44",44445595,"cid","0.025"
"45",15945877,"cid","0.027"
"46",16113002,"cid","0.027"
"47",118725960,"cid","0.028"
"48",44436831,"cid","0.032"
"49",44445609,"cid","0.034"
"50",44445607,"cid","0.035"
"51",44445612,"cid","0.041"
"52",44436888,"cid","0.051"
"53",16114403,"cid","0.053"
"54",118725966,"cid","0.057"
"55",44445596,"cid","0.065"
"56",16113799,"cid","0.069"
"57",44445628,"cid","0.076"
"58",118725963,"cid","0.081"
"59",44445603,"cid","0.093"
"60",44445615,"cid","0.093"
"61",118725964,"cid","0.095"
"62",44445625,"cid","0.097"
"63",44445599,"cid","0.102"
"64",44445608,"cid","0.124"
"65",44445598,"cid","0.129"
"66",44445624,"cid","0.14"
"67",118725962,"cid","0.328"
"68",44445597,"cid","0.513"
"69",44445627,"cid","0.53"
"70",16113122,"cid",NA
"71",23648232,"cid",NA
"72",23648233,"cid",NA
"73",23648235,"cid",NA
"74",23648242,"cid",NA
"75",23656300,"cid",NA
"76",44436807,"cid",NA
"77",44436813,"cid",NA
"78",44436832,"cid",NA
"79",44436917,"cid",NA
"80",44445601,"cid",NA
"81",44445602,"cid",NA
"82",44445604,"cid",NA
"83",44445605,"cid",NA
"84",44445613,"cid",NA
"85",44445614,"cid",NA
"86",44445617,"cid",NA
"87",44445618,"cid",NA
"88",44445622,"cid",NA
"89",44445629,"cid",NA
"90",118725954,"cid",NA
"91",118725958,"cid",NA
"92",118725965,"cid",NA
