"","Id","Id.Type","Standard.Value"
"1",57398340,"cid","1e-05"
"2",57400002,"cid","1e-05"
"3",57394881,"cid","5e-05"
"4",11512561,"cid","1e-04"
"5",11526745,"cid","1e-04"
"6",11527086,"cid","1e-04"
"7",11584702,"cid","1e-04"
"8",11664206,"cid","1e-04"
"9",56926461,"cid","1e-04"
"10",56926462,"cid","1e-04"
"11",56926680,"cid","1e-04"
"12",56926682,"cid","1e-04"
"13",56926893,"cid","1e-04"
"14",57393073,"cid","1e-04"
"15",134132152,"cid","1e-04"
"16",134132670,"cid","1e-04"
"17",134133037,"cid","1e-04"
"18",134133352,"cid","1e-04"
"19",134137202,"cid","1e-04"
"20",134137257,"cid","1e-04"
"21",134138218,"cid","1e-04"
"22",134138445,"cid","1e-04"
"23",134139279,"cid","1e-04"
"24",134142204,"cid","1e-04"
"25",134142553,"cid","1e-04"
"26",134142839,"cid","1e-04"
"27",134143096,"cid","1e-04"
"28",134143635,"cid","1e-04"
"29",134143746,"cid","1e-04"
"30",134145221,"cid","1e-04"
"31",134145791,"cid","1e-04"
"32",134148686,"cid","1e-04"
"33",134149719,"cid","1e-04"
"34",134153496,"cid","1e-04"
"35",134153654,"cid","1e-04"
"36",134155282,"cid","1e-04"
"37",134155656,"cid","1e-04"
"38",134157569,"cid","1e-04"
"39",57345600,"cid","0.00016"
"40",57345599,"cid","2e-04"
"41",57398341,"cid","2e-04"
"42",178024,"cid","0.00024"
"43",57398342,"cid","0.00026"
"44",57401803,"cid","0.00027"
"45",57401799,"cid","3e-04"
"46",44340008,"cid","0.00034"
"47",57399248,"cid","0.00034"
"48",57391293,"cid","4e-04"
"49",44340268,"cid","0.00045"
"50",57401800,"cid","5e-04"
"51",57401801,"cid","6e-04"
"52",44576256,"cid","7e-04"
"53",56942242,"cid","8e-04"
"54",57398339,"cid","9e-04"
"55",57399248,"cid","0.001"
"56",57401802,"cid","0.0015"
"57",57401797,"cid","0.0017"
"58",57398343,"cid","0.0019"
"59",56942243,"cid","0.002"
"60",57345597,"cid","0.002"
"61",127047524,"cid","0.002"
"62",127048059,"cid","0.0025"
"63",57400003,"cid","0.0026"
"64",71456897,"cid","0.003"
"65",127045859,"cid","0.003"
"66",127047523,"cid","0.003"
"67",57345598,"cid","0.0031"
"68",57391292,"cid","0.0031"
"69",53373577,"cid","0.003311"
"70",57391294,"cid","0.0034"
"71",67405379,"cid","0.003981"
"72",23631116,"cid","0.004"
"73",118725961,"cid","0.004"
"74",127046956,"cid","0.004"
"75",70695747,"cid","0.0044"
"76",67406334,"cid","0.004571"
"77",71453489,"cid","0.0049"
"78",9876514,"cid","0.005"
"79",57394882,"cid","0.005"
"80",70682037,"cid","0.005495"
"81",44454303,"cid","0.0057"
"82",9919153,"cid","0.006"
"83",56926461,"cid","0.006"
"84",58438475,"cid","0.00631"
"85",58438475,"cid","0.00631"
"86",118725956,"cid","0.0064"
"87",57394797,"cid","0.0066"
"88",58438464,"cid","0.006607"
"89",58438464,"cid","0.006607"
"90",67406334,"cid","0.006607"
"91",57401798,"cid","0.0067"
"92",58438475,"cid","0.0069"
"93",216208,"cid","0.007"
"94",70682037,"cid","0.007"
"95",67408128,"cid","0.007413"
"96",44454337,"cid","0.0075"
"97",56942099,"cid","0.008"
"98",66601728,"cid","0.008"
"99",127046473,"cid","0.008"
"100",66788278,"cid","0.009"
"101",127045858,"cid","0.009"
"102",58438487,"cid","0.00912"
"103",67407808,"cid","0.00912"
"104",67407808,"cid","0.00912"
"105",67406727,"cid","0.0092"
"106",24969783,"cid","0.01"
"107",52911621,"cid","0.01"
"108",56925345,"cid","0.01"
"109",56926175,"cid","0.01"
"110",56926360,"cid","0.01"
"111",56926582,"cid","0.01"
"112",56926681,"cid","0.01"
"113",56926891,"cid","0.01"
"114",56926892,"cid","0.01"
"115",56926894,"cid","0.01"
"116",56942098,"cid","0.01"
"117",57528321,"cid","0.01"
"118",59778970,"cid","0.01"
"119",72574018,"cid","0.01"
"120",117812380,"cid","0.01"
"121",117812386,"cid","0.01"
"122",130334810,"cid","0.01"
"123",134130631,"cid","0.01"
"124",134131183,"cid","0.01"
"125",134131442,"cid","0.01"
"126",134132137,"cid","0.01"
"127",134132394,"cid","0.01"
"128",134132893,"cid","0.01"
"129",134132958,"cid","0.01"
"130",134133488,"cid","0.01"
"131",134133518,"cid","0.01"
"132",134134248,"cid","0.01"
"133",134134286,"cid","0.01"
"134",134134556,"cid","0.01"
"135",134135296,"cid","0.01"
"136",134136433,"cid","0.01"
"137",134136665,"cid","0.01"
"138",134137008,"cid","0.01"
"139",134137012,"cid","0.01"
"140",134137398,"cid","0.01"
"141",134138234,"cid","0.01"
"142",134138595,"cid","0.01"
"143",134138824,"cid","0.01"
"144",134139113,"cid","0.01"
"145",134139286,"cid","0.01"
"146",134139489,"cid","0.01"
"147",134140007,"cid","0.01"
"148",134140270,"cid","0.01"
"149",134140968,"cid","0.01"
"150",134141159,"cid","0.01"
"151",134141782,"cid","0.01"
"152",134141886,"cid","0.01"
"153",134142218,"cid","0.01"
"154",134142433,"cid","0.01"
"155",134143366,"cid","0.01"
"156",134144205,"cid","0.01"
"157",134144211,"cid","0.01"
"158",134144429,"cid","0.01"
"159",134144606,"cid","0.01"
"160",134145064,"cid","0.01"
"161",134145552,"cid","0.01"
"162",134145564,"cid","0.01"
"163",134146319,"cid","0.01"
"164",134146570,"cid","0.01"
"165",134146888,"cid","0.01"
"166",134147381,"cid","0.01"
"167",134147441,"cid","0.01"
"168",134147802,"cid","0.01"
"169",134147809,"cid","0.01"
"170",134148504,"cid","0.01"
"171",134148639,"cid","0.01"
"172",134149092,"cid","0.01"
"173",134149306,"cid","0.01"
"174",134149407,"cid","0.01"
"175",134150029,"cid","0.01"
"176",134150646,"cid","0.01"
"177",134150729,"cid","0.01"
"178",134151758,"cid","0.01"
"179",134151899,"cid","0.01"
"180",134152133,"cid","0.01"
"181",134152339,"cid","0.01"
"182",134152984,"cid","0.01"
